instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0.0003,13.0597,space,13.0425,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,13.0881,16.9889,right,3.6575,,0,0,0,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,16.991,21.4721,right,4.2516,,0,1,1,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,21.4742,26.3049,right,4.609,,0,2,2,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,26.3055,30.1549,right,3.6159,,0,3,3,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,30.1556,37.0049,left,6.6256,,0,4,4,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,37.0056,40.505,right,3.2683,,0,5,5,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,40.5056,42.5551,right,1.8165,,0,6,6,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,42.5565,45.4048,left,2.6208,,0,7,7,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,45.4053,49.888,right,4.2544,,0,8,8,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,49.8886,52.6384,right,2.5176,,0,9,9,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,52.647,56.9551,right,4.0836,,,,,,,"Receive £6,000 now","Receive £20,000 in 100 days time",0,0,0,4,1,,,,,,,
,,,,,133489,001,2026-05-11_13h49.12.465,delay_discount,2026.1.3,Win32,59.88023952,56.9556,60.1884,left,3,,,,,,,"Receive £500,000 in 80 days time","Receive £4,000 now",0,1,1,5,1,,,,,,,
