amount1,amount2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,piloting,instructions.started,instr_txt.started,key_resp_start.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,trial.started,question.started,button_1.started,button_2.started,key_resp.started,trial.stopped,trials_1.key_resp.keys,trials_1.key_resp.rt,trials_1.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,bye.started,bye_txt.started,bye_txt.stopped,bye.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,True,0.04598675004672259,0.06342091597616673,0.06342091597616673,9.900093207950704,space,9.802142750006169,None,,,,,,,,,,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £10 in 5 days time,Receive £9 now,0,0,0,right,3.193888668087311,None,0,0,0,9,,,,,,,,,9.946487416047603,,,,,,,,,,9.929858000017703,10.11321441596374,10.11321441596374,10.11321441596374,10.11321441596374,13.429073208011687,right,3.193888668087311,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £1 now,Receive £7 in 7 days time,1,1,0,right,1.2302060009678826,None,0,1,1,3,,,,,,,,,13.44691820803564,,,,,,,,,,13.437123915995471,13.6298990000505,13.6298990000505,13.6298990000505,13.6298990000505,14.866762457997538,right,1.2302060009678826,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £1 now,Receive £10 in 100 days time,2,2,0,right,5.0420273339841515,None,0,2,2,4,,,,,,,,,14.88030733296182,,,,,,,,,,14.869175208033994,15.080287958029658,15.080287958029658,15.080287958029658,15.080287958029658,20.13313954102341,right,5.0420273339841515,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £10 now,Receive £10 in 10 days time,3,3,0,left,1.2959550840314478,None,0,3,3,0,,,,,,,,,20.146789125050418,,,,,,,,,,20.135563208023086,20.346857958007604,20.346857958007604,20.346857958007604,20.346857958007604,21.6499008750543,left,1.2959550840314478,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £10 in 14 days time,Receive £7 now,4,4,0,right,2.513199750916101,None,0,4,4,7,,,,,,,,,21.679934832965955,,,,,,,,,,21.66004437499214,21.86362358299084,21.86362358299084,21.86362358299084,21.86362358299084,24.383099833037704,right,2.513199750916101,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £5 in 80 days time,Receive £4 now,5,5,0,right,2.015837416984141,None,0,5,5,5,,,,,,,,,24.398241583025083,,,,,,,,,,24.392910499940626,24.59690858295653,24.59690858295653,24.59690858295653,24.59690858295653,26.615420624963008,right,2.015837416984141,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £3 in 90 days time,Receive £5 now,6,6,0,right,1.5138241249369457,None,0,6,6,8,,,,,,,,,26.629446750041097,,,,,,,,,,26.6234029160114,26.829820582992397,26.829820582992397,26.829820582992397,26.829820582992397,28.34936137497425,right,1.5138241249369457,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £9 in 30 days time,Receive £2 now,7,7,0,left,1.8780944180907682,None,0,7,7,6,,,,,,,,,28.363219833001494,,,,,,,,,,28.358495958033018,28.56362112495117,28.56362112495117,28.56362112495117,28.56362112495117,30.451192375039682,left,1.8780944180907682,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
Receive £5 now,Receive £8 in 2 days time,8,8,0,right,1.6542017090832815,None,0,8,8,2,,,,,,,,,30.463505540974438,,,,,,,,,,30.453552040969953,30.663496666005813,30.663496666005813,30.663496666005813,30.663496666005813,32.33320966595784,right,1.6542017090832815,None,,,,,,,,,,,2786812,001,2026-05-10_12h27.53.800,delay_discount,,2026.1.3,59.98771738293175,2026-05-10 12h27.54.039454 +0300,
