instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0.0003,15.7612,space,15.7337,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,15.783,28.0104,left,11.9886,,0,0,0,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,28.0109,35.2103,left,6.9649,,0,1,1,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,35.211,40.3937,right,4.9492,,0,2,2,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,40.3943,43.4606,right,2.8441,,0,3,3,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,43.4612,50.1105,right,6.4154,,0,4,4,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,50.1114,52.2772,right,1.9351,,0,5,5,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,52.2778,54.7437,right,2.2322,,0,6,6,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,54.7445,59.0103,right,4.0318,,0,7,7,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,59.011,61.6438,left,2.4043,,0,8,8,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,61.6446,64.8104,right,2.9322,,0,9,9,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,64.8193,71.2938,left,6.2484,,,,,,,"Receive £500,000 in 80 days time","Receive £4,000 now",0,0,0,5,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,71.2948,76.4603,right,4.9324,,,,,,,"Receive £6,000 now","Receive £20,000 in 100 days time",0,1,1,4,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,76.4611,79.8603,left,3.1659,,,,,,,"Receive £5,000 now",Receive £800 in 2 days time,0,2,2,2,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,79.8611,83.8437,left,3.7503,,,,,,,"Receive £100,000 in 5 days time","Receive £20,000 now",0,3,3,9,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,83.8445,86.5437,right,2.4648,,,,,,,"Receive £80,000 now","Receive £200,000 in 30 days time",0,4,4,1,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,86.5444,91.1271,left,4.3605,,,,,,,"Receive £8,000 in 30 days time","Receive £3,000 now",0,5,5,6,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,91.1278,126.427,right,35.0655,,,,,,,"Receive £10,000 now","Receive £100,000 in 10 days time",0,6,6,0,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,126.4278,129.1104,left,2.449,,,,,,,"Receive £1,000 in 14 days time",Receive £700 now,0,7,7,7,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,129.1111,132.7603,right,3.4166,,,,,,,"Receive £100,000 now","Receive £7,000,000 in 1 year time",0,8,8,3,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,132.761,137.0103,left,4.0219,,,,,,,"Receive £30,000 in 90 days time","Receive £20,000 now",0,9,9,8,1,,,,,,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,137.0183,140.877,right,3.6353,,,,,,,Receive £5 in 80 days time,Receive £4 now,,,,,,0,0,0,5,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,140.8779,146.6603,left,5.5489,,,,,,,Receive £9 in 30 days time,Receive £2 now,,,,,,0,1,1,6,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,146.6611,152.9769,right,6.081,,,,,,,Receive £10 in 5 days time,Receive £9 now,,,,,,0,2,2,9,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,152.9777,155.8435,left,2.6327,,,,,,,Receive £8 now,Receive £10 in 30 days time,,,,,,0,3,3,1,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,155.8442,157.3935,left,1.3153,,,,,,,Receive £10 now,Receive £10 in 10 days time,,,,,,0,4,4,0,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,157.3943,159.6603,right,2.0377,,,,,,,Receive £1 now,Receive £10 in 100 days time,,,,,,0,5,5,4,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,159.661,161.8271,right,1.9325,,,,,,,Receive £3 in 90 days time,Receive £5 now,,,,,,0,6,6,8,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,161.8279,163.5432,right,1.4885,,,,,,,Receive £1 now,Receive £7 in 7 days time,,,,,,0,7,7,3,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,163.5436,165.0926,left,1.3225,,,,,,,Receive £10 in 14 days time,Receive £7 now,,,,,,0,8,8,7,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,165.0931,167.1766,right,1.8556,,,,,,,Receive £5 now,Receive £8 in 2 days time,,,,,,0,9,9,2,1,,
,,,,,755678,001,2026-05-09_14h56.23.223,delay_discount,2026.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,167.1773,170.1772
