instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0,17.578,space,17.572,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,17.585,21.269,left,3.471,,0,0,0,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,21.269,24.196,right,2.717,,0,1,1,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,24.197,27.487,right,3.078,,0,2,2,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,27.489,30.348,left,2.65,,0,3,3,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,30.348,32.845,right,2.286,,0,4,4,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,32.845,38.566,right,5.508,,0,5,5,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,38.566,40.371,right,1.595,,0,6,6,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,40.371,43.916,right,3.334,,0,7,7,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,ogumus,001,2026-05-11_23h11.56.846,delay_discount,2026.1.3,Win32,165.0165017,43.917,50.499,right,6.378,,0,8,8,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
