amount1,amount2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,piloting,instructions.started,instr_txt.started,key_resp_start.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,trial.started,question.started,button_1.started,button_2.started,key_resp.started,trial.stopped,trials_1.key_resp.keys,trials_1.key_resp.rt,trials_1.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,bye.started,bye_txt.started,bye_txt.stopped,bye.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,True,0.06528969999635592,0.06970689998706803,0.06970689998706803,9.685801799991168,space,9.61113789997762,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £10 in 5 days time,Receive £9 now,0,0,0,right,5.324544900038745,None,0,0,0,9,,,,,,,,,9.707877599983476,,,,,,,,,,9.698572299967054,9.8761177000124,9.8761177000124,9.8761177000124,9.8761177000124,15.205888999975286,right,5.324544900038745,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £5 in 80 days time,Receive £4 now,1,1,0,right,1.995113399985712,None,0,1,1,5,,,,,,,,,15.216431399981957,,,,,,,,,,15.210362999991048,15.397692999977153,15.397692999977153,15.397692999977153,15.397692999977153,17.399061399977654,right,1.995113399985712,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £3 in 90 days time,Receive £5 now,2,2,0,right,2.257293500006199,None,0,2,2,8,,,,,,,,,17.411428299965337,,,,,,,,,,17.40183160000015,17.59153759997571,17.59153759997571,17.59153759997571,17.59153759997571,19.853503599995747,right,2.257293500006199,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £10 now,Receive £10 in 10 days time,3,3,0,left,1.6828639999730512,None,0,3,3,0,,,,,,,,,19.85807969997404,,,,,,,,,,19.854476400010753,20.045984599972144,20.045984599972144,20.045984599972144,20.045984599972144,21.732139999978244,left,1.6828639999730512,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £1 now,Receive £7 in 7 days time,4,4,0,right,4.11651449999772,None,0,4,4,3,,,,,,,,,21.741887799988035,,,,,,,,,,21.734881799959112,21.924164699972607,21.924164699972607,21.924164699972607,21.924164699972607,26.041101199982222,right,4.11651449999772,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £5 now,Receive £8 in 2 days time,5,5,0,right,4.502651399991009,None,0,5,5,2,,,,,,,,,26.053754199994728,,,,,,,,,,26.04380719998153,26.234041399962734,26.234041399962734,26.234041399962734,26.234041399962734,30.73799339996185,right,4.502651399991009,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £1 now,Receive £10 in 100 days time,6,6,0,right,4.496443399984855,None,0,6,6,4,,,,,,,,,30.742751899990253,,,,,,,,,,30.738978300010785,30.936253499996383,30.936253499996383,30.936253499996383,30.936253499996383,35.44027919997461,right,4.496443399984855,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £8 now,Receive £10 in 30 days time,7,7,0,left,1.8388380000251345,None,0,7,7,1,,,,,,,,,35.44571770000039,,,,,,,,,,35.441217999963555,35.63405849999981,35.63405849999981,35.63405849999981,35.63405849999981,37.477324399980716,left,1.8388380000251345,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
Receive £9 in 30 days time,Receive £2 now,8,8,0,right,3.658879700000398,None,0,8,8,6,,,,,,,,,37.48193199996604,,,,,,,,,,37.478397300001234,37.66994349996094,37.66994349996094,37.66994349996094,37.66994349996094,41.33211029996164,right,3.658879700000398,None,,,,,,,,,,,pilot,001,2026-05-09_22h55.21.551,delay_discount,,2026.1.3,164.36365789023841,2026-05-09 22h55.21.712218 +0300,
