instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0,8.296,space,8.283,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,8.307,10.366,left,1.84,,0,0,0,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,10.366,12.137,left,1.566,,0,1,1,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,12.138,17.977,left,5.635,,0,2,2,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,17.977,21.373,left,3.188,,0,3,3,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,21.374,26.658,left,5.079,,0,4,4,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,26.658,30.2,right,3.327,,0,5,5,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,30.2,32.492,right,2.083,,0,6,6,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,32.492,35.825,left,3.125,,0,7,7,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,sonat,001,2026-05-11_16h53.06.703,delay_discount,2026.1.3,Win32,144.092219,35.827,38.387,left,2.347,,0,8,8,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
