,participant_id,set,trial,response_time,is_delay
0,6f2bd4b7,low1,1,3.6575,1
1,6f2bd4b7,low1,2,4.2516,0
2,6f2bd4b7,low1,3,4.609,1
3,6f2bd4b7,low1,4,3.6159,0
4,6f2bd4b7,low1,5,6.6256,1
5,6f2bd4b7,low1,6,3.2683,0
6,6f2bd4b7,low1,7,1.8165,1
7,6f2bd4b7,low1,8,2.6208,0
8,6f2bd4b7,low1,9,4.2544,0
9,6f2bd4b7,low1,10,2.5176,1
10,6f2bd4b7,high,1,4.0836,1
11,6f2bd4b7,high,2,3.0,1
12,6f2bd4b7,high,3,2.659,1
13,6f2bd4b7,high,4,3.4584,1
14,6f2bd4b7,high,5,2.1423,0
15,6f2bd4b7,high,6,3.7838,1
16,6f2bd4b7,high,7,2.7687,1
17,6f2bd4b7,high,8,9.8829,1
18,6f2bd4b7,high,9,5.6502,0
19,6f2bd4b7,high,10,2.7681,1
20,6f2bd4b7,low2,1,3.3061,0
21,6f2bd4b7,low2,2,3.9838,0
22,6f2bd4b7,low2,3,6.5252,0
23,6f2bd4b7,low2,4,2.3419,0
24,6f2bd4b7,low2,5,5.0661,0
25,6f2bd4b7,low2,6,2.293,0
26,6f2bd4b7,low2,7,2.8701,1
27,6f2bd4b7,low2,8,2.6064,0
28,6f2bd4b7,low2,9,6.4744,1
29,6f2bd4b7,low2,10,2.4728,0
30,1139f1b6,low1,1,1.84,1
31,1139f1b6,low1,2,1.566,1
32,1139f1b6,low1,3,5.635,1
33,1139f1b6,low1,4,3.188,0
34,1139f1b6,low1,5,5.079,0
35,1139f1b6,low1,6,3.327,0
36,1139f1b6,low1,7,2.083,0
37,1139f1b6,low1,8,3.125,0
38,1139f1b6,low1,9,2.347,0
39,1139f1b6,low1,10,2.396,1
40,1139f1b6,high,1,3.452,1
41,1139f1b6,high,2,1.542,1
42,1139f1b6,high,3,2.91,0
43,1139f1b6,high,4,4.148,1
44,1139f1b6,high,5,1.877,1
45,1139f1b6,high,6,3.758,1
46,1139f1b6,high,7,3.149,1
47,1139f1b6,high,8,7.74,1
48,1139f1b6,high,9,1.195,1
49,1139f1b6,high,10,1.496,1
50,1139f1b6,low2,1,1.612,0
51,1139f1b6,low2,2,2.562,0
52,1139f1b6,low2,3,0.968,0
53,1139f1b6,low2,4,1.077,1
54,1139f1b6,low2,5,1.898,0
55,1139f1b6,low2,6,1.195,1
56,1139f1b6,low2,7,8.78,1
57,1139f1b6,low2,8,1.627,0
58,1139f1b6,low2,9,1.972,1
59,1139f1b6,low2,10,2.254,1
60,d8b1cb1d,low1,1,3.471,1
61,d8b1cb1d,low1,2,2.717,0
62,d8b1cb1d,low1,3,3.078,1
63,d8b1cb1d,low1,4,2.65,0
64,d8b1cb1d,low1,5,2.286,0
65,d8b1cb1d,low1,6,5.508,1
66,d8b1cb1d,low1,7,1.595,1
67,d8b1cb1d,low1,8,3.334,0
68,d8b1cb1d,low1,9,6.378,0
69,d8b1cb1d,low1,10,5.231,0
70,d8b1cb1d,high,1,2.516,0
71,d8b1cb1d,high,2,2.268,1
72,d8b1cb1d,high,3,1.887,1
73,d8b1cb1d,high,4,4.894,1
74,d8b1cb1d,high,5,1.735,1
75,d8b1cb1d,high,6,1.739,1
76,d8b1cb1d,high,7,3.473,1
77,d8b1cb1d,high,8,3.419,1
78,d8b1cb1d,high,9,1.96,1
79,d8b1cb1d,high,10,2.427,0
80,d8b1cb1d,low2,1,2.471,0
81,d8b1cb1d,low2,2,2.314,1
82,d8b1cb1d,low2,3,3.299,0
83,d8b1cb1d,low2,4,1.376,0
84,d8b1cb1d,low2,5,1.682,1
85,d8b1cb1d,low2,6,3.946,1
86,d8b1cb1d,low2,7,2.594,1
87,d8b1cb1d,low2,8,2.206,0
88,d8b1cb1d,low2,9,2.867,0
89,d8b1cb1d,low2,10,2.019,0
90,8c1ef757,low1,1,3.9825,0
91,8c1ef757,low1,2,2.0602,0
92,8c1ef757,low1,3,1.9378,0
93,8c1ef757,low1,4,2.8432,0
94,8c1ef757,low1,5,3.9932,0
95,8c1ef757,low1,6,2.0688,0
96,8c1ef757,low1,7,2.2937,0
97,8c1ef757,low1,8,1.5828,0
98,8c1ef757,low1,9,3.7321,0
99,8c1ef757,low1,10,2.1378,0
100,8c1ef757,high,1,4.1945,1
101,8c1ef757,high,2,3.4339,1
102,8c1ef757,high,3,3.9996,1
103,8c1ef757,high,4,3.718,1
104,8c1ef757,high,5,3.777,1
105,8c1ef757,high,6,3.827,1
106,8c1ef757,high,7,8.2494,1
107,8c1ef757,high,8,1.9831,1
108,8c1ef757,high,9,2.4161,1
109,8c1ef757,high,10,2.4662,0
110,8c1ef757,low2,1,2.7161,0
111,8c1ef757,low2,2,4.4163,0
112,8c1ef757,low2,3,8.3162,0
113,8c1ef757,low2,4,1.5153,0
114,8c1ef757,low2,5,1.2761,0
115,8c1ef757,low2,6,1.2266,0
116,8c1ef757,low2,7,2.2015,1
117,8c1ef757,low2,8,2.144,0
118,8c1ef757,low2,9,1.4606,0
119,8c1ef757,low2,10,2.0765,0
120,3dab781c,low1,1,14.4027,0
121,3dab781c,low1,2,8.5794,0
122,3dab781c,low1,3,2.4651,0
123,3dab781c,low1,4,3.5909,1
124,3dab781c,low1,5,4.6958,0
125,3dab781c,low1,6,2.7149,1
126,3dab781c,low1,7,5.1814,1
127,3dab781c,low1,8,2.0766,1
128,3dab781c,low1,9,4.6955,1
129,3dab781c,low1,10,7.943,0
130,3dab781c,high,1,2.814,1
131,3dab781c,high,2,3.1235,1
132,3dab781c,high,3,5.9372,0
133,3dab781c,high,4,3.4294,1
134,3dab781c,high,5,1.8838,1
135,3dab781c,high,6,5.9568,1
136,3dab781c,high,7,1.9807,1
137,3dab781c,high,8,6.3885,1
138,3dab781c,high,9,1.6736,1
139,3dab781c,high,10,2.9309,1
140,3dab781c,low2,1,1.5764,1
141,3dab781c,low2,2,3.0628,0
142,3dab781c,low2,3,4.9918,1
143,3dab781c,low2,4,5.4435,0
144,3dab781c,low2,5,8.8336,0
145,3dab781c,low2,6,2.4943,1
146,3dab781c,low2,7,6.4434,1
147,3dab781c,low2,8,2.4657,1
148,3dab781c,low2,9,1.7408,1
149,3dab781c,low2,10,2.1942,0
150,a009a1f1,low1,1,8.642008292023093,0
151,a009a1f1,low1,2,6.663606709334999,1
152,a009a1f1,low1,3,4.380187791772187,0
153,a009a1f1,low1,4,3.479991791769862,0
154,a009a1f1,low1,5,5.598403333686292,0
155,a009a1f1,low1,6,4.384325374849141,0
156,a009a1f1,low1,7,6.4705232498236,0
157,a009a1f1,low1,8,2.417378874961287,0
158,a009a1f1,low1,9,2.166608375031501,0
159,a009a1f1,low1,10,2.809865958057344,0
160,a009a1f1,high,1,5.162383167073131,1
161,a009a1f1,high,2,11.8778663338162,0
162,a009a1f1,high,3,6.5735438340343535,1
163,a009a1f1,high,4,2.5723211667500436,0
164,a009a1f1,high,5,3.110932250041514,0
165,a009a1f1,high,6,2.15621616691351,1
166,a009a1f1,high,7,1.6288065002299843,0
167,a009a1f1,high,8,4.2754011657088995,1
168,a009a1f1,high,9,2.3579961247742176,0
169,a009a1f1,high,10,4.38616987504065,0
170,a009a1f1,low2,1,2.5870574577711523,0
171,a009a1f1,low2,2,9.255075375083834,0
172,a009a1f1,low2,3,6.4237982500344515,0
173,a009a1f1,low2,4,6.148944291751832,0
174,a009a1f1,low2,5,5.51775341713801,0
175,a009a1f1,low2,6,3.170235500205308,0
176,a009a1f1,low2,7,1.9761844594031572,0
177,a009a1f1,low2,8,1.6078057498671114,0
178,a009a1f1,low2,9,2.365370917133987,0
179,a009a1f1,low2,10,4.9966140408068895,0
180,4118be2b,low1,1,3.0695,1
181,4118be2b,low1,2,3.9171,0
182,4118be2b,low1,3,2.6507,0
183,4118be2b,low1,4,3.0099,0
184,4118be2b,low1,5,2.2843,1
185,4118be2b,low1,6,2.9013,0
186,4118be2b,low1,7,3.2184,1
187,4118be2b,low1,8,2.2052,0
188,4118be2b,low1,9,3.4759,0
189,4118be2b,low1,10,2.7834,0
190,4118be2b,high,1,1.917,1
191,4118be2b,high,2,2.5001,1
192,4118be2b,high,3,1.7027,1
193,4118be2b,high,4,1.917,1
194,4118be2b,high,5,1.6914,1
195,4118be2b,high,6,3.1574,1
196,4118be2b,high,7,4.179,1
197,4118be2b,high,8,2.5671,0
198,4118be2b,high,9,3.3178,1
199,4118be2b,high,10,2.4502,1
200,4118be2b,low2,1,3.4044,0
201,4118be2b,low2,2,5.5828,1
202,4118be2b,low2,3,2.7081,1
203,4118be2b,low2,4,2.0998,1
204,4118be2b,low2,5,2.1835,0
205,4118be2b,low2,6,2.8341,0
206,4118be2b,low2,7,3.0168,0
207,4118be2b,low2,8,1.9499,0
208,4118be2b,low2,9,2.5996,0
209,4118be2b,low2,10,3.8833,0
210,10e3fb4f,low1,1,11.9886,0
211,10e3fb4f,low1,2,6.9649,0
212,10e3fb4f,low1,3,4.9492,0
213,10e3fb4f,low1,4,2.8441,1
214,10e3fb4f,low1,5,6.4154,1
215,10e3fb4f,low1,6,1.9351,1
216,10e3fb4f,low1,7,2.2322,0
217,10e3fb4f,low1,8,4.0318,0
218,10e3fb4f,low1,9,2.4043,1
219,10e3fb4f,low1,10,2.9322,0
220,10e3fb4f,high,1,6.2484,1
221,10e3fb4f,high,2,4.9324,1
222,10e3fb4f,high,3,3.1659,0
223,10e3fb4f,high,4,3.7503,1
224,10e3fb4f,high,5,2.4648,1
225,10e3fb4f,high,6,4.3605,1
226,10e3fb4f,high,7,35.0655,1
227,10e3fb4f,high,8,2.449,1
228,10e3fb4f,high,9,3.4166,1
229,10e3fb4f,high,10,4.0219,1
230,10e3fb4f,low2,1,3.6353,0
231,10e3fb4f,low2,2,5.5489,1
232,10e3fb4f,low2,3,6.081,0
